song,lyrics
this is me trying,And my words shoot to kill when I'm mad
this is me trying,I have a lot of regrets about that
this is me trying,"I was so ahead of the curve, the curve became a sphere"
this is me trying,Fell behind all my classmates and I ended up here
this is me trying,Pourin' out my heart to a stranger
this is me trying,But I didn't pour the whiskey
this is me trying,I just wanted you to know
this is me trying,That this is me trying
this is me trying,I just wanted you to know
this is me trying,That this is me trying
this is me trying,At least I'm trying
this is me trying,And it's hard to be at a party
this is me trying,When I feel like an open wound
this is me trying,It's hard to be anywhere these days
this is me trying,When all I want is you
this is me trying,You're a flashback in a film reel
this is me trying,On the one screen in my town
this is me trying,And I just wanted you to know
this is me trying,That this is me trying (Maybe I don't quite know what to say)
this is me trying,I just wanted you to know
this is me trying,That this is me trying
this is me trying,At least I'm trying
illicit affairs,Make sure nobody sees you leave
illicit affairs,Hood over your head
illicit affairs,Keep your eyes down
illicit affairs,Tell your friends you're out for a run
illicit affairs,You'll be flushed when you return
illicit affairs,Take the road less traveled by
illicit affairs,Tell yourself you can always stop
illicit affairs,What started in beautiful rooms
illicit affairs,Ends with meetings in parking lots
illicit affairs,And that's the thing about illicit affairs
illicit affairs,And clandestine meetings
illicit affairs,And longing stares
illicit affairs,It's born from just one single glance
illicit affairs,But it dies and it dies and it dies
illicit affairs,...a million little times
illicit affairs,Leave the perfume on the shelf
illicit affairs,That you picked out just for him
illicit affairs,So you leave no trace behind
illicit affairs,Like you don't even exist
illicit affairs,Take the words for what they are
illicit affairs,"A dwindling, mercurial high"
illicit affairs,A drug that only worked
illicit affairs,The first few hundred times
illicit affairs,And that's the thing about illicit affairs
illicit affairs,And clandestine meetings
illicit affairs,And stolen stares
illicit affairs,They show their truth one single time
illicit affairs,But they lie and they lie and they lie
illicit affairs,...a million little times
illicit affairs,And you wanna scream
illicit affairs,Don't call me kid
illicit affairs,Don't call me baby
illicit affairs,Look at this godforsaken mess that you made me
illicit affairs,You showed me colors you know I can't see with anyone else
illicit affairs,Don't call me kid
illicit affairs,Don't call me baby
illicit affairs,Look at this idiotic fool that you made me
illicit affairs,You taught me a secret language I can't speak with anyone else
illicit affairs,And you know damn well
illicit affairs,For you I would ruin myself
illicit affairs,...a million little times
invisible string,Green was the color of the grass where I used to read at Centennial Park
invisible string,I used to think I would meet somebody there
invisible string,Teal was the color of your shirt when you were 16 at the yogurt shop
invisible string,You used to work at to make a little money
invisible string,Time
invisible string,Curious time
invisible string,Gave me no compasses
invisible string,Gave me no signs
invisible string,Were there clues I didn't see?
invisible string,And isn't it just so pretty to think
invisible string,All along there was some
invisible string,Invisible string
invisible string,Tying you to me?
invisible string,Bad was the blood of the song in the cab on your first trip to LA
invisible string,You ate at my favorite spot for dinner
invisible string,Bold was the waitress on our three-year trip getting lunch down by the Lakes
invisible string,She said I looked like an American singer
invisible string,Time
invisible string,Mystical time
invisible string,"Cutting me open, then healing me fine"
invisible string,Were there clues I didn't see?
invisible string,And isn't it just so pretty to think
invisible string,All along there was some
invisible string,Invisible string
invisible string,Tying you to me?
invisible string,A string that pulled me
invisible string,Out of all the wrong arms right into that dive bar
invisible string,Something wrapped all of my past mistakes in barbed wire
invisible string,Chains around my demons
invisible string,Wool to brave the seasons
invisible string,One single thread of gold tied me to you
invisible string,Cold was the steel of my axe to grind for the boys who broke my heart
invisible string,Now I send their babies presents
invisible string,Gold was the color of the leaves when I showed you around Centennial Park
